Drug,Disease
CHEBI:5558,OMIM:608622
CHEBI:5558,MONDO:0008071
CHEBI:5558,MONDO:0007743
CHEBI:3423,MONDO:0010159
CHEBI:3423,MONDO:0024498
CHEBI:3423,MONDO:0007190
CHEBI:3423,MONDO:0009975
CHEBI:3423,MONDO:0009539
CHEBI:3423,MONDO:0009348
CHEBI:3423,MONDO:0009693
DRUGBANK:DB01109,MONDO:0010789
DRUGBANK:DB01109,MONDO:0000914
DRUGBANK:DB01109,MONDO:0020671
CHEBI:2567,MONDO:0007057
CHEBI:2567,MONDO:0007885
CHEBI:2567,MONDO:0005298
CHEBI:2567,MONDO:0011183
CHEBI:2567,MONDO:0008178
CHEBI:8081,MONDO:0008233
CHEBI:8081,MONDO:0009276
CHEBI:8081,OMIM:608622
CHEBI:8081,MONDO:0007954
CHEBI:8081,MONDO:0008071
CHEBI:8081,MONDO:0010119
CHEBI:47381,MONDO:0011835
CHEBI:47381,MONDO:0007885
CHEBI:47381,MONDO:0008827
CHEBI:47381,MONDO:0010624
CHEBI:47381,MONDO:0007830
CHEBI:47381,MONDO:0007127
CHEBI:47381,MONDO:0007704
CHEBI:47381,MONDO:0011923
CHEBI:47381,MONDO:0008143
CHEBI:15354,MONDO:0011835
CHEBI:15354,MONDO:0008827
CHEBI:15354,MONDO:0007830
CHEBI:15354,MONDO:0007704
CHEBI:15354,MONDO:0011923
CHEBI:15354,MONDO:0008143
CHEBI:7640,MONDO:0009648
CHEBI:7640,MONDO:0007830
CHEBI:7640,MONDO:0010941
CHEBI:7640,MONDO:0008187
CHEBI:7640,MONDO:0010910
CHEBI:7640,MONDO:0007743
CHEBI:44423,MONDO:0010159
CHEBI:44423,MONDO:0009891
CHEBI:44423,MONDO:0007763
CHEBI:44423,MONDO:0007964
CHEBI:44423,MONDO:0007963
CHEBI:44423,MONDO:0008554
CHEBI:44423,OMIM:605839
CHEBI:4911,MONDO:0010159
CHEBI:4911,MONDO:0010108
CHEBI:4911,MONDO:0009348
CHEBI:4911,MONDO:0008433
CHEBI:144093,MONDO:0023122
CHEBI:9445,MONDO:0010811
CHEBI:9445,MONDO:0008007
CHEBI:9445,MONDO:0007830
CHEBI:9445,OMIM:608622
CHEBI:9445,MONDO:0008071
CHEBI:9445,MONDO:0008696
CHEBI:9445,MONDO:0007754
CHEBI:10100,MONDO:0008834
CHEBI:5120,MONDO:0008980
CHEBI:5120,MONDO:0009421
CHEBI:5120,MONDO:0016419
CHEBI:3084,MONDO:0008007
CHEBI:3084,MONDO:0007186
CHEBI:3084,MONDO:0008630
CHEBI:50859,MONDO:0010159
CHEBI:50859,MONDO:0009691
CHEBI:15365,MONDO:0011835
CHEBI:15365,MONDO:0007140
CHEBI:15365,MONDO:0007885
CHEBI:15365,MONDO:0007782
CHEBI:15365,MONDO:0008000
CHEBI:15365,MONDO:0008827
CHEBI:15365,MONDO:0007915
CHEBI:15365,MONDO:0000914
CHEBI:15365,MONDO:0007830
CHEBI:15365,MONDO:0007704
CHEBI:15365,MONDO:0011923
CHEBI:15365,MONDO:0008143
CHEBI:15365,MONDO:0020671
CHEBI:2208,MONDO:0004948
CHEBI:2208,MONDO:0007190
CHEBI:2208,MONDO:0008617
CHEBI:2208,MONDO:0009539
CHEBI:2208,MONDO:0009960
CHEBI:76917,MONDO:0008364
CHEBI:76917,OMIM:608622
CHEBI:76917,MONDO:0008071
CHEBI:39669,MONDO:0011835
CHEBI:39669,MONDO:0008827
CHEBI:39669,MONDO:0007830
CHEBI:39669,MONDO:0007704
CHEBI:39669,MONDO:0011923
CHEBI:39669,MONDO:0008143
CHEBI:7954,OMIM:608622
CHEBI:7954,MONDO:0008071
CHEBI:27662,MONDO:0007782
CHEBI:63629,MONDO:0008000
CHEBI:63629,MONDO:0008599
CHEBI:63629,MONDO:0010983
CHEBI:63629,MONDO:0008696
CHEBI:63629,MONDO:0008054
CHEBI:41879,MONDO:0008399
CHEBI:41879,MONDO:0008974
CHEBI:41879,MONDO:0010159
CHEBI:41879,MONDO:0011115
CHEBI:41879,MONDO:0008558
CHEBI:41879,MONDO:0007935
CHEBI:41879,MONDO:0009313
CHEBI:41879,MONDO:0007782
CHEBI:41879,MONDO:0008834
CHEBI:41879,MONDO:0007915
CHEBI:41879,MONDO:0010874
CHEBI:41879,MONDO:0009691
CHEBI:41879,MONDO:0007583
CHEBI:41879,MONDO:0009122
CHEBI:41879,MONDO:0007446
CHEBI:41879,MONDO:0008162
DRUGBANK:DB00284,MONDO:0007455
DRUGBANK:DB00284,MONDO:0007453
DRUGBANK:DB00284,MONDO:0010894
DRUGBANK:DB00284,MONDO:0007452
CHEBI:5864,MONDO:0004948
CHEBI:5864,MONDO:0010159
CHEBI:5864,MONDO:0007190
CHEBI:5864,MONDO:0010108
CHEBI:5864,MONDO:0009539
CHEBI:5864,MONDO:0009348
CHEBI:50223,MONDO:0008922
CHEBI:50223,MONDO:0008915
CHEBI:50223,MONDO:0008916
CHEBI:50223,MONDO:0008837
CHEBI:50223,MONDO:0009169
CHEBI:50223,MONDO:0009164
CHEBI:50223,OMIM:305300
CHEBI:3082,MONDO:0007664
CHEBI:3082,OMIM:608622
CHEBI:3082,MONDO:0008071
CHEBI:71365,MONDO:0009518
CHEBI:3441,MONDO:0011857
CHEBI:3441,OMIM:608622
CHEBI:3441,MONDO:0008071
CHEBI:6935,MONDO:0007455
CHEBI:6935,MONDO:0007453
CHEBI:6935,MONDO:0010894
CHEBI:6935,MONDO:0007452
CHEBI:7986,MONDO:0010789
CHEBI:7986,MONDO:0000914
CHEBI:7986,MONDO:0008559
CHEBI:7986,MONDO:0020671
CHEBI:3638,MONDO:0008399
CHEBI:7478,MONDO:0008000
CHEBI:127342,MONDO:0007743
CHEBI:9649,MONDO:0007797
CHEBI:9649,OMIM:608622
CHEBI:9649,MONDO:0008071
CHEBI:44185,MONDO:0010159
CHEBI:44185,MONDO:0018874
CHEBI:44185,MONDO:0009313
CHEBI:44185,MONDO:0008842
CHEBI:44185,MONDO:0007190
CHEBI:44185,MONDO:0007576
CHEBI:44185,MONDO:0009975
CHEBI:44185,MONDO:0009521
CHEBI:44185,MONDO:0002629
CHEBI:44185,MONDO:0010108
CHEBI:44185,MONDO:0009539
CHEBI:44185,MONDO:0007899
CHEBI:44185,MONDO:0009348
CHEBI:44185,MONDO:0009691
CHEBI:44185,MONDO:0009273
CHEBI:44185,MONDO:0009122
CHEBI:44185,MONDO:0009994
CHEBI:44185,MONDO:0005575
CHEBI:44185,MONDO:0016419
CHEBI:44185,MONDO:0007648
CHEBI:44185,MONDO:0008433
CHEBI:44185,MONDO:0001187
CHEBI:47426,MONDO:0020739
CHEBI:47426,MONDO:0008974
CHEBI:47426,MONDO:0008152
CHEBI:47426,MONDO:0007797
CHEBI:47426,MONDO:0008859
CHEBI:47426,MONDO:0009733
CHEBI:47426,MONDO:0010874
CHEBI:47426,MONDO:0008758
CHEBI:47426,OMIM:608622
CHEBI:47426,MONDO:0008829
CHEBI:47426,MONDO:0008071
CHEBI:5818,MONDO:0007782
CHEBI:5818,MONDO:0007830
CHEBI:82892,MONDO:0007257
CHEBI:82892,MONDO:0008905
CHEBI:16794,MONDO:0007433
CHEBI:16794,MONDO:0008199
CHEBI:16794,MONDO:0008591
CHEBI:16794,MONDO:0008193
CHEBI:16794,MONDO:0007144
CHEBI:16794,MONDO:0009172
CHEBI:16794,MONDO:0008015
CHEBI:16709,MONDO:0009399
CHEBI:16709,MONDO:0009013
CHEBI:47499,MONDO:0007830
CHEBI:47499,MONDO:0010941
CHEBI:47499,MONDO:0008187
CHEBI:47499,MONDO:0010910
CHEBI:47499,MONDO:0007743
CHEBI:28748,MONDO:0010159
CHEBI:28748,MONDO:0018874
CHEBI:28748,MONDO:0009741
CHEBI:28748,MONDO:0002629
CHEBI:28748,MONDO:0008566
CHEBI:28748,MONDO:0009539
CHEBI:28748,MONDO:0009348
CHEBI:28748,MONDO:0009994
CHEBI:28748,MONDO:0016419
CHEBI:28748,MONDO:0007648
CHEBI:28748,MONDO:0008903
CHEBI:28748,MONDO:0001187
CHEBI:28748,MONDO:0009693
CHEBI:28748,MONDO:0008679
CHEBI:261649,MONDO:0010853
CHEBI:6801,MONDO:0007455
CHEBI:6801,MONDO:0008314
CHEBI:6801,MONDO:0008487
CHEBI:6801,MONDO:0007453
CHEBI:6801,MONDO:0010894
CHEBI:6801,MONDO:0007452
CHEBI:39585,MONDO:0007433
CHEBI:39585,MONDO:0008199
CHEBI:39585,MONDO:0007053
CHEBI:39585,MONDO:0008193
CHEBI:47898,MONDO:0010159
CHEBI:47898,MONDO:0016419
CHEBI:8354,MONDO:0009688
CHEBI:6775,MONDO:0009960
CHEBI:49603,MONDO:0010159
CHEBI:49603,MONDO:0016419
CHEBI:31897,MONDO:0007455
CHEBI:31897,MONDO:0007453
CHEBI:31897,MONDO:0010894
CHEBI:31897,MONDO:0007452
CHEBI:3756,MONDO:0011835
CHEBI:3756,MONDO:0009698
CHEBI:3756,MONDO:0008827
CHEBI:3756,MONDO:0007050
CHEBI:3756,MONDO:0007053
CHEBI:3756,OMIM:254770
CHEBI:3756,MONDO:0008187
CHEBI:3756,MONDO:0007704
CHEBI:3756,MONDO:0005090
CHEBI:3756,MONDO:0011923
CHEBI:3756,MONDO:0008143
CHEBI:18145,MONDO:0011513
CHEBI:18145,MONDO:0007433
CHEBI:18145,MONDO:0011707
CHEBI:18145,MONDO:0010188
CHEBI:18145,MONDO:0009946
CHEBI:18145,MONDO:0009259
CHEBI:18145,MONDO:0007088
CHEBI:18145,MONDO:0008696
CHEBI:18145,MONDO:0009284
CHEBI:5002,OMIM:608622
CHEBI:5002,MONDO:0008071
CHEBI:8774,MONDO:0007797
CHEBI:8774,OMIM:608622
CHEBI:8774,MONDO:0008071
CHEBI:17303,MONDO:0007830
CHEBI:17650,MONDO:0009313
CHEBI:17650,MONDO:0007446
CHEBI:17650,MONDO:0008162
CHEBI:101278,MONDO:0011857
CHEBI:101278,MONDO:0008364
CHEBI:101278,MONDO:0012066
CHEBI:101278,OMIM:608622
CHEBI:101278,MONDO:0008071
CHEBI:135925,MONDO:0010340
CHEBI:135925,MONDO:0007743
CHEBI:46195,MONDO:0007782
CHEBI:46195,MONDO:0008000
CHEBI:46195,MONDO:0011961
CHEBI:46195,MONDO:0007830
CHEBI:46195,MONDO:0007704
CHEBI:3213,MONDO:0008974
CHEBI:3213,MONDO:0008152
CHEBI:3213,MONDO:0007797
CHEBI:3213,MONDO:0008859
CHEBI:3213,MONDO:0009733
CHEBI:3213,MONDO:0010874
CHEBI:3213,MONDO:0008758
CHEBI:3213,OMIM:608622
CHEBI:3213,MONDO:0008829
CHEBI:3213,MONDO:0008071
CHEBI:42797,MONDO:0011891
CHEBI:42797,MONDO:0008131
CHEBI:42797,MONDO:0008590
CHEBI:42797,MONDO:0020759
CHEBI:42797,MONDO:0008000
CHEBI:42797,MONDO:0020772
CHEBI:42797,MONDO:0011491
CHEBI:42797,MONDO:0007053
CHEBI:42797,MONDO:0011970
CHEBI:42797,MONDO:0008836
CHEBI:42797,MONDO:0007830
CHEBI:42797,MONDO:0011892
CHEBI:42797,MONDO:0010339
CHEBI:42797,MONDO:0011875
CHEBI:42797,MONDO:0009976
CHEBI:42797,MONDO:0007754
CHEBI:36795,MONDO:0008131
CHEBI:36795,MONDO:0007830
CHEBI:2038,MONDO:0009532
CHEBI:2038,MONDO:0009781
CHEBI:2038,MONDO:0010978
CHEBI:94701,MONDO:0004948
CHEBI:94701,MONDO:0010159
CHEBI:94701,MONDO:0007190
CHEBI:94701,MONDO:0009975
CHEBI:94701,MONDO:0009539
CHEBI:94701,MONDO:0009348
CHEBI:94701,MONDO:0009122
CHEBI:18258,MONDO:0007681
CHEBI:18258,MONDO:0010138
CHEBI:18258,MONDO:0009718
CHEBI:18258,MONDO:0007699
CHEBI:80680,MONDO:0009912
CHEBI:80680,MONDO:0010558
CHEBI:80680,MONDO:0011961
CHEBI:80680,MONDO:0019182
CHEBI:80680,MONDO:0007831
CHEBI:7492,MONDO:0008834
CHEBI:7492,MONDO:0010940
CHEBI:63634,MONDO:0011835
CHEBI:63634,MONDO:0008827
CHEBI:63634,MONDO:0007704
CHEBI:63634,MONDO:0011923
CHEBI:63634,MONDO:0008143
CHEBI:16236,MONDO:0007830
CHEBI:5893,MONDO:0008974
CHEBI:5893,MONDO:0009733
CHEBI:5893,MONDO:0010874
CHEBI:5893,OMIM:608622
CHEBI:5893,MONDO:0008071
CHEBI:3611,MONDO:0009172
CHEBI:3611,MONDO:0007079
CHEBI:3176,MONDO:0011129
CHEBI:3176,MONDO:0007664
CHEBI:3176,MONDO:0007665
CHEBI:3176,MONDO:0008071
CHEBI:7936,MONDO:0007542
CHEBI:7936,MONDO:0009648
CHEBI:7936,MONDO:0008114
CHEBI:7936,MONDO:0008187
CHEBI:37941,MONDO:0010789
CHEBI:37941,MONDO:0000914
CHEBI:37941,MONDO:0020671
CHEBI:15940,MONDO:0007762
CHEBI:15940,MONDO:0007751
CHEBI:53776,MONDO:0009313
CHEBI:47781,MONDO:0007830
CHEBI:47781,MONDO:0007743
CHEBI:18243,MONDO:0008152
CHEBI:18243,MONDO:0007797
CHEBI:18243,MONDO:0010687
CHEBI:18243,MONDO:0008071
CHEBI:77733,MONDO:0011857
CHEBI:77733,MONDO:0008000
CHEBI:77733,MONDO:0020745
CHEBI:77733,MONDO:0012066
CHEBI:77733,MONDO:0007266
CHEBI:77733,OMIM:608622
CHEBI:77733,MONDO:0008071
CHEBI:77733,MONDO:0008696
CHEBI:79699,MONDO:0007763
CHEBI:79699,OMIM:605839
CHEBI:28901,MONDO:0010159
CHEBI:28901,MONDO:0009521
CHEBI:28901,MONDO:0009891
CHEBI:28901,MONDO:0009692
CHEBI:28901,MONDO:0009122
CHEBI:32599,MONDO:0009548
CHEBI:32599,MONDO:0009399
CHEBI:32599,MONDO:0007482
CHEBI:32599,MONDO:0008585
CHEBI:32599,MONDO:0009013
CHEBI:4708,MONDO:0010811
CHEBI:4708,MONDO:0007830
CHEBI:4708,MONDO:0008364
CHEBI:4708,OMIM:608622
CHEBI:4708,MONDO:0008071
CHEBI:4708,MONDO:0008696
CHEBI:2704,MONDO:0018919
CHEBI:2704,MONDO:0016419
CHEBI:31348,MONDO:0010159
CHEBI:31348,MONDO:0007763
CHEBI:31348,MONDO:0005575
CHEBI:31348,MONDO:0023122
CHEBI:31348,MONDO:0016419
CHEBI:31348,MONDO:0007648
CHEBI:9139,MONDO:0024533
CHEBI:9139,MONDO:0008071
CHEBI:36704,MONDO:0007127
CHEBI:71940,MONDO:0024533
CHEBI:71940,MONDO:0008071
CHEBI:45924,MONDO:0008834
CHEBI:45924,MONDO:0011462
CHEBI:45924,MONDO:0008162
CHEBI:59773,MONDO:0008834
CHEBI:59773,MONDO:0008617
CHEBI:59773,MONDO:0010940
CHEBI:4798,MONDO:0008199
CHEBI:4798,MONDO:0008193
CHEBI:8214,OMIM:608622
CHEBI:8214,MONDO:0008071
CHEBI:8665,MONDO:0009648
CHEBI:8665,MONDO:0009688
CHEBI:18357,MONDO:0007803
CHEBI:28593,MONDO:0011857
CHEBI:28593,MONDO:0020745
CHEBI:28593,MONDO:0012066
CHEBI:9449,MONDO:0008859
CHEBI:9449,MONDO:0008834
CHEBI:9449,MONDO:0010940
CHEBI:7915,MONDO:0008591
CHEBI:7915,MONDO:0010853
CHEBI:7915,MONDO:0007186
CHEBI:100241,MONDO:0009781
CHEBI:100241,MONDO:0007782
CHEBI:100241,MONDO:0008834
CHEBI:100241,MONDO:0008162
CHEBI:100241,MONDO:0009960
CHEBI:8499,MONDO:0008233
CHEBI:8499,MONDO:0007706
CHEBI:8499,MONDO:0008590
CHEBI:8499,MONDO:0008000
CHEBI:8499,MONDO:0007201
CHEBI:8499,MONDO:0020745
CHEBI:8499,MONDO:0010253
CHEBI:8499,OMIM:608622
CHEBI:8499,MONDO:0024529
CHEBI:8499,MONDO:0008071
CHEBI:3013,MONDO:0008974
CHEBI:3013,MONDO:0009733
CHEBI:3013,MONDO:0010874
CHEBI:3013,OMIM:608622
CHEBI:3013,MONDO:0008071
CHEMBL.COMPOUND:CHEMBL1201139,MONDO:0016419
CHEMBL.COMPOUND:CHEMBL1201139,MONDO:0007179
CHEMBL.COMPOUND:CHEMBL1201139,MONDO:0008635
CHEBI:63916,MONDO:0024533
CHEBI:63916,MONDO:0007781
CHEBI:63916,OMIM:608622
CHEBI:63916,MONDO:0008071
CHEBI:28934,MONDO:0007797
CHEBI:28934,MONDO:0010186
CHEBI:28934,MONDO:0009812
CHEBI:28934,MONDO:0009429
CHEBI:3994,MONDO:0007782
CHEBI:5383,MONDO:0007455
CHEBI:5383,MONDO:0007453
CHEBI:5383,MONDO:0010894
CHEBI:5383,MONDO:0007452
CHEBI:28918,MONDO:0008834
CHEBI:28918,MONDO:0011129
CHEBI:28918,MONDO:0007664
CHEBI:28918,MONDO:0007665
CHEBI:28918,MONDO:0010940
CHEBI:28918,MONDO:0007831
CHEBI:4636,MONDO:0007782
CHEBI:4636,MONDO:0011961
CHEBI:4636,MONDO:0008015
CHEBI:4636,MONDO:0007831
CHEBI:8435,MONDO:0009167
CHEBI:8435,MONDO:0011953
CHEBI:8435,MONDO:0007782
CHEBI:8435,MONDO:0008444
CHEBI:8435,MONDO:0009851
CHEBI:8435,MONDO:0009164
CHEBI:40279,MONDO:0010687
CHEBI:40279,MONDO:0011179
CHEBI:72564,MONDO:0010159
CHEBI:72564,MONDO:0007964
CHEBI:72564,MONDO:0007963
CHEBI:53289,MONDO:0011513
CHEBI:53289,MONDO:0007433
CHEBI:53289,MONDO:0007088
CHEBI:9637,MONDO:0008974
CHEBI:9637,MONDO:0008152
CHEBI:9637,MONDO:0007797
CHEBI:9637,MONDO:0010874
CHEBI:9637,OMIM:608622
CHEBI:9637,MONDO:0008829
CHEBI:9637,MONDO:0008071
CHEBI:520985,MONDO:0008000
CHEBI:8772,MONDO:0007057
CHEBI:8772,MONDO:0005298
CHEBI:8772,MONDO:0016419
CHEBI:3223,MONDO:0010275
CHEBI:3223,MONDO:0009798
CHEBI:3223,MONDO:0008130
CHEBI:3223,MONDO:0008187
CHEBI:3223,MONDO:0007973
CHEBI:3223,MONDO:0007085
CHEBI:63620,MONDO:0008199
CHEBI:63620,MONDO:0008193
CHEBI:77397,MONDO:0007542
CHEBI:77397,MONDO:0009167
CHEBI:77397,MONDO:0011953
CHEBI:77397,MONDO:0008444
CHEBI:77397,MONDO:0009851
CHEBI:77397,MONDO:0008114
CHEBI:77397,MONDO:0009164
CHEBI:77397,MONDO:0008187
CHEBI:77397,MONDO:0007079
CHEBI:27732,MONDO:0007782
CHEBI:27732,MONDO:0008000
CHEBI:27732,MONDO:0007830
CHEBI:27732,MONDO:0007623
CHEBI:27732,MONDO:0007704
CHEBI:7852,MONDO:0007830
CHEBI:6809,MONDO:0009912
CHEBI:6809,MONDO:0010558
CHEBI:6809,MONDO:0019182
CHEBI:6809,MONDO:0007743
CHEBI:9671,MONDO:0008974
CHEBI:9671,MONDO:0008859
CHEBI:9671,MONDO:0010874
CHEBI:9671,MONDO:0008758
CHEBI:9671,MONDO:0008829
CHEBI:16469,MONDO:0007057
CHEBI:16469,MONDO:0008980
CHEBI:16469,MONDO:0010706
CHEBI:16469,MONDO:0023122
CHEBI:16469,MONDO:0016419
CHEBI:6916,MONDO:0020745
CHEBI:35852,MONDO:0010159
CHEBI:35852,MONDO:0009741
CHEBI:35852,MONDO:0007576
CHEBI:35852,MONDO:0002629
CHEBI:35852,MONDO:0010108
CHEBI:35852,MONDO:0009348
CHEBI:35852,MONDO:0008433
CHEBI:35852,MONDO:0001187
CHEBI:35852,MONDO:0009693
CHEMBL.COMPOUND:CHEMBL476,MONDO:0010159
CHEMBL.COMPOUND:CHEMBL476,MONDO:0009741
CHEMBL.COMPOUND:CHEMBL476,MONDO:0009348
CHEMBL.COMPOUND:CHEMBL476,MONDO:0007964
CHEMBL.COMPOUND:CHEMBL476,MONDO:0009994
CHEMBL.COMPOUND:CHEMBL476,MONDO:0007963
CHEBI:8382,MONDO:0020739
CHEBI:8382,MONDO:0008399
CHEBI:8382,MONDO:0010159
CHEBI:8382,MONDO:0008558
CHEBI:8382,MONDO:0009313
CHEBI:8382,MONDO:0008842
CHEBI:8382,MONDO:0008000
CHEBI:8382,MONDO:0010580
CHEBI:8382,MONDO:0007816
CHEBI:8382,MONDO:0008834
CHEBI:8382,MONDO:0007915
CHEBI:8382,MONDO:0010874
CHEBI:8382,MONDO:0021571
CHEBI:8382,MONDO:0009539
CHEBI:8382,MONDO:0007899
CHEBI:8382,MONDO:0009691
CHEBI:8382,MONDO:0007583
CHEBI:8382,MONDO:0009122
CHEBI:8382,MONDO:0020108
CHEBI:8382,MONDO:0007446
CHEBI:8382,MONDO:0007179
CHEBI:8382,MONDO:0007831
CHEBI:6904,MONDO:0011857
CHEBI:6904,MONDO:0008590
CHEBI:6904,MONDO:0007201
CHEBI:6904,MONDO:0012066
CHEBI:6904,OMIM:608622
CHEBI:6904,MONDO:0024529
CHEBI:6904,MONDO:0008071
CHEBI:9241,MONDO:0008974
CHEBI:9241,MONDO:0010874
CHEBI:9241,MONDO:0011462
CHEBI:9241,OMIM:608622
CHEBI:9241,MONDO:0008829
CHEBI:9241,MONDO:0008071
CHEBI:9241,MONDO:0007085
CHEBI:5855,MONDO:0011835
CHEBI:5855,MONDO:0007885
CHEBI:5855,MONDO:0007782
CHEBI:5855,MONDO:0008827
CHEBI:5855,MONDO:0009648
CHEBI:5855,MONDO:0007830
CHEBI:5855,MONDO:0007704
CHEBI:5855,MONDO:0011923
CHEBI:5855,MONDO:0008143
CHEBI:94686,MONDO:0009912
CHEBI:94686,MONDO:0010558
CHEBI:94686,MONDO:0019182
CHEBI:61058,OMIM:608622
CHEBI:61058,MONDO:0008071
CHEBI:50648,MONDO:0007845
CHEBI:9943,MONDO:0007542
CHEBI:9943,MONDO:0007830
CHEBI:9943,MONDO:0008114
CHEBI:9943,MONDO:0008187
CHEBI:9943,MONDO:0007743
CHEBI:9943,MONDO:0011846
CHEBI:39867,MONDO:0011513
CHEBI:39867,MONDO:0007433
CHEBI:39867,MONDO:0009399
CHEBI:39867,MONDO:0008000
CHEBI:39867,MONDO:0010253
CHEBI:39867,MONDO:0007088
CHEBI:39867,MONDO:0009013
CHEBI:39867,MONDO:0005090
CHEBI:39867,MONDO:0007085
CHEMBL.COMPOUND:CHEMBL3039598,MONDO:0007797
CHEMBL.COMPOUND:CHEMBL3039598,OMIM:608622
CHEMBL.COMPOUND:CHEMBL3039598,MONDO:0008071
CHEBI:31623,MONDO:0011292
CHEBI:50122,MONDO:0007455
CHEBI:50122,MONDO:0007453
CHEBI:50122,MONDO:0010894
CHEBI:50122,MONDO:0007452
CHEBI:45783,MONDO:0010159
CHEBI:45783,MONDO:0011895
CHEBI:45783,MONDO:0009539
CHEBI:45783,MONDO:0007546
CHEBI:63618,MONDO:0007751
CHEBI:63618,MONDO:0020671
CHEBI:28680,MONDO:0010159
CHEBI:28680,MONDO:0018874
CHEBI:28680,MONDO:0007190
CHEBI:28680,MONDO:0009975
